time,open,high,low,close,volume
2025-09-11 04:00:00,350.4900,351.8400,350.0000,350.9100,80337
2025-09-11 04:30:00,350.9100,351.2500,350.7000,350.8500,31403
2025-09-11 05:00:00,350.8000,351.0000,350.7700,350.9500,14523
2025-09-11 05:30:00,350.9800,351.0000,350.5000,350.8500,21413
2025-09-11 06:00:00,350.8300,351.5800,350.8300,351.4400,22720
2025-09-11 06:30:00,351.4400,351.7200,351.0600,351.5800,35818
2025-09-11 07:00:00,351.5300,352.0200,351.3800,351.6700,75287
2025-09-11 07:30:00,351.6600,351.7900,351.4800,351.5400,38964
2025-09-11 08:00:00,351.5000,352.0800,347.0425,351.5000,1056709
2025-09-11 08:30:00,351.5300,352.0800,349.2200,350.8000,605675
2025-09-11 09:00:00,350.8500,351.1600,349.9500,350.1600,226420
2025-09-11 09:30:00,350.1700,352.2200,347.6000,351.4850,9350864
2025-09-11 10:00:00,351.4974,359.2799,350.6500,358.8800,12728809
2025-09-11 10:30:00,358.8500,360.5500,357.0200,358.8100,10326767
2025-09-11 11:00:00,358.8101,363.3000,358.3800,361.6300,10010830
2025-09-11 11:30:00,361.6100,363.5700,360.8300,362.4238,5801430
2025-09-11 12:00:00,362.4350,362.8800,360.3200,360.4090,4255295
2025-09-11 12:30:00,360.4100,361.8400,360.1800,361.8200,3927797
2025-09-11 13:00:00,361.8000,364.3200,361.6600,364.0891,5291256
2025-09-11 13:30:00,364.0850,366.6600,363.6600,366.0900,7189198
2025-09-11 14:00:00,366.0500,367.6400,364.7780,365.2600,6606262
2025-09-11 14:30:00,365.2200,367.3800,364.9200,367.3799,4525469
2025-09-11 15:00:00,367.3200,368.3500,365.7700,367.0650,6462037
2025-09-11 15:30:00,367.0700,368.9900,365.8200,368.7950,8322716
2025-09-11 16:00:00,368.8300,369.9000,367.5010,368.6500,9621231
2025-09-11 16:30:00,368.7200,368.8100,330.4800,368.5600,212738
2025-09-11 17:00:00,368.5000,368.6100,367.8100,368.2000,151563
2025-09-11 17:30:00,368.0300,368.8100,219.0570,367.6000,147669
2025-09-11 18:00:00,367.5500,436.0858,225.0383,367.8100,126479
2025-09-11 18:30:00,367.8400,368.6400,367.6000,368.5900,129683
2025-09-11 19:00:00,368.5900,369.4800,368.4200,369.1500,156820
2025-09-11 19:30:00,369.1200,370.4500,369.0100,370.4400,299402
2025-09-12 04:00:00,370.0600,372.0000,369.7900,369.9600,329592
2025-09-12 04:30:00,369.9500,369.9900,367.7500,368.1100,222907
2025-09-12 05:00:00,368.1100,369.1700,367.4000,368.9200,103153
2025-09-12 05:30:00,368.9200,369.4900,368.7300,369.1200,62561
2025-09-12 06:00:00,369.1100,370.6600,369.0800,370.6500,98478
2025-09-12 06:30:00,370.6200,371.2000,370.3700,370.8600,133865
2025-09-12 07:00:00,370.8600,370.9300,367.7800,368.8900,258319
2025-09-12 07:30:00,368.8600,370.6800,368.6000,370.5600,200229
2025-09-12 08:00:00,369.1800,371.7500,367.4000,370.1000,1074991
2025-09-12 08:30:00,370.0008,370.5000,347.6500,370.2850,260295
2025-09-12 09:00:00,370.2355,371.2700,370.1900,370.9200,514207
2025-09-12 09:30:00,370.9400,386.9900,370.2400,384.5600,28044167
2025-09-12 10:00:00,384.5850,392.4288,383.9000,391.7650,22216729
2025-09-12 10:30:00,391.8000,394.1900,386.9000,389.6101,17295166
2025-09-12 11:00:00,389.6500,391.7500,372.2200,388.2250,9381706
2025-09-12 11:30:00,388.2250,392.6700,387.8000,391.7400,7457877
2025-09-12 12:00:00,391.7400,392.3300,389.4301,391.6650,6417129
2025-09-12 12:30:00,391.6650,395.9900,391.4000,393.6100,10629235
2025-09-12 13:00:00,393.5694,394.4200,391.0800,393.6000,8380729
2025-09-12 13:30:00,393.5700,395.3700,393.2000,394.8862,5730035
2025-09-12 14:00:00,394.9000,395.5000,394.1100,394.9600,6698024
2025-09-12 14:30:00,394.9800,394.9900,392.6100,393.7250,6294499
2025-09-12 15:00:00,393.7500,396.6899,393.6700,393.9800,11031999
2025-09-12 15:30:00,393.9600,396.5000,391.8801,396.0000,14122489
2025-09-12 16:00:00,395.9900,396.6600,394.8300,395.4900,14784017
2025-09-12 16:30:00,395.4900,395.9400,395.1000,395.1786,286734
2025-09-12 17:00:00,395.2400,396.7992,375.3725,395.1000,272385
2025-09-12 17:30:00,395.1700,395.2100,372.8429,395.0000,194693
2025-09-12 18:00:00,394.9200,395.0000,394.7057,394.8400,74219
2025-09-12 18:30:00,394.8400,395.1500,394.7200,395.0300,110563
2025-09-12 19:00:00,395.0500,395.7000,394.8500,395.6000,111561
2025-09-12 19:30:00,395.6014,396.0000,395.2400,395.3500,178131
2025-09-15 04:00:00,399.9000,405.1600,399.9000,400.5000,437204
2025-09-15 04:30:00,400.4900,400.9000,397.5500,399.5400,264459
2025-09-15 05:00:00,399.5100,399.5700,398.5100,399.1100,110635
2025-09-15 05:30:00,399.0800,401.7700,399.0800,401.3200,149537
2025-09-15 06:00:00,401.3100,416.8700,400.4600,416.7900,1525861
2025-09-15 06:30:00,416.7700,425.0000,416.7700,420.1200,2379743
2025-09-15 07:00:00,420.0900,427.8700,417.5500,426.9400,2417990
2025-09-15 07:30:00,426.8900,430.3600,425.0000,425.3200,2334489
2025-09-15 08:00:00,419.5500,430.3000,395.9400,428.1100,5638852
2025-09-15 08:30:00,428.1200,429.5000,426.7300,428.1301,1804796
2025-09-15 09:00:00,428.2100,430.0700,395.9400,423.1800,2621322
2025-09-15 09:30:00,423.1300,425.7000,414.7700,418.9125,31930338
2025-09-15 10:00:00,418.8800,423.0500,414.2600,416.5600,15574469
2025-09-15 10:30:00,416.5500,421.9500,415.6100,421.6400,9965331
2025-09-15 11:00:00,421.6500,424.1273,418.8600,422.4000,9635840
2025-09-15 11:30:00,422.4100,422.7300,419.5101,419.5650,5476903
2025-09-15 12:00:00,419.5310,421.2000,417.4000,418.5000,6530733
2025-09-15 12:30:00,418.5100,420.1800,415.7900,416.3600,5790592
2025-09-15 13:00:00,416.3500,418.3900,416.0000,417.5250,4498405
2025-09-15 13:30:00,417.5000,418.2000,416.2200,416.2751,4472869
2025-09-15 14:00:00,416.2700,416.4800,406.6000,406.6793,12164517
2025-09-15 14:30:00,406.6600,407.8000,402.4300,407.1550,12509387
2025-09-15 15:00:00,407.1100,409.8500,406.6000,407.7300,8398207
2025-09-15 15:30:00,407.7100,411.2400,406.4100,410.1400,10595285
2025-09-15 16:00:00,410.1500,419.8250,409.0000,411.1300,9595803
2025-09-15 16:30:00,411.1300,421.3994,397.0329,411.2000,327456
2025-09-15 17:00:00,411.2200,468.5637,222.8476,410.4100,133236
2025-09-15 17:30:00,410.4100,410.8000,410.2500,410.2900,103553
2025-09-15 18:00:00,410.2900,410.3500,409.1500,409.3500,151394
2025-09-15 18:30:00,409.2900,410.0400,408.7700,409.4000,149805
2025-09-15 19:00:00,409.5000,410.7668,409.2500,410.3300,126537
2025-09-15 19:30:00,410.3600,411.1400,410.2000,410.8001,181003
2025-09-16 04:00:00,417.8900,421.6000,416.1800,419.9200,549837
2025-09-16 04:30:00,419.9900,420.6000,419.0600,419.2600,157061
2025-09-16 05:00:00,419.3100,419.8400,418.5000,419.1000,111905
2025-09-16 05:30:00,419.0900,419.2800,418.0700,418.1300,118981
2025-09-16 06:00:00,418.2000,418.3600,416.1900,417.9000,205375
2025-09-16 06:30:00,417.9100,418.2800,416.7800,416.9600,109915
2025-09-16 07:00:00,416.9500,417.3200,411.6400,415.3000,511084
2025-09-16 07:30:00,415.3600,416.4100,414.7100,415.1500,153205
2025-09-16 08:00:00,420.7400,421.5500,410.0329,413.0000,1441633
2025-09-16 08:30:00,413.0962,416.6000,410.0400,415.3800,551452
2025-09-16 09:00:00,415.3100,417.5100,414.2400,414.5000,660313
2025-09-16 09:30:00,414.4950,417.9400,411.4300,415.9900,17030431
