time,open,high,low,close,volume
2025-09-29 04:00:00,1210.6100,1216.4100,1210.6100,1214.0000,785
2025-09-29 04:30:00,1212.7600,1216.5000,1212.7600,1216.4900,757
2025-09-29 05:00:00,1215.3000,1216.8200,1215.2700,1216.5000,311
2025-09-29 05:30:00,1215.6800,1217.2000,1213.7000,1215.5000,698
2025-09-29 06:00:00,1215.3800,1216.1600,1213.9700,1216.1600,378
2025-09-29 06:30:00,1216.4200,1216.7000,1215.4600,1215.4600,144
2025-09-29 07:00:00,1215.2700,1215.5900,1212.7600,1213.2800,1446
2025-09-29 07:30:00,1213.0000,1214.9800,1213.0000,1214.4700,1321
2025-09-29 08:00:00,1210.0012,1220.1088,1210.0012,1215.5550,4580
2025-09-29 08:30:00,1215.6500,1217.0000,1184.1000,1193.0000,36434
2025-09-29 09:00:00,1191.5000,1207.3500,1188.0000,1205.3900,61969
2025-09-29 09:30:00,1205.0000,1218.8000,1187.5400,1218.8000,666536
2025-09-29 10:00:00,1218.8800,1223.1900,1215.0801,1221.5800,314515
2025-09-29 10:30:00,1221.0900,1224.4900,1213.3675,1213.5950,141269
2025-09-29 11:00:00,1213.7100,1217.7450,1212.0100,1212.2500,117953
2025-09-29 11:30:00,1211.6900,1214.2092,1210.6100,1212.0650,84623
2025-09-29 12:00:00,1212.7400,1214.6000,1207.4800,1208.2100,115638
2025-09-29 12:30:00,1208.0400,1209.5100,1203.6000,1204.1300,84523
2025-09-29 13:00:00,1203.6200,1207.2400,1202.9050,1205.8100,98666
2025-09-29 13:30:00,1206.2850,1206.3100,1202.9400,1204.5200,104102
2025-09-29 14:00:00,1204.5300,1205.7380,1201.5000,1201.8949,117296
2025-09-29 14:30:00,1201.2800,1203.3000,1200.7700,1201.6950,93602
2025-09-29 15:00:00,1201.9013,1202.7421,1200.0000,1201.0600,151753
2025-09-29 15:30:00,1201.1500,1206.5345,1199.8750,1206.4700,322894
2025-09-29 16:00:00,1206.4700,1206.5850,1204.0000,1204.9050,849165
2025-09-29 16:30:00,1205.5000,1205.5000,1185.5380,1204.0000,1327
2025-09-29 17:00:00,1204.0000,1206.4100,1119.0880,1204.0000,27933
