time,open,high,low,close,volume
2025-09-11 04:00:00,231.0000,232.2300,231.0000,232.0300,39730
2025-09-11 04:30:00,232.0300,232.1100,231.5000,231.9500,19774
2025-09-11 05:00:00,231.8600,232.2000,231.8600,232.1300,14168
2025-09-11 05:30:00,232.1000,232.1200,231.6000,231.7000,10514
2025-09-11 06:00:00,231.7500,232.2000,231.6400,232.0700,14434
2025-09-11 06:30:00,232.0300,232.3200,231.9000,232.0700,16357
2025-09-11 07:00:00,232.0300,232.1100,231.7000,231.7800,20231
2025-09-11 07:30:00,231.7800,232.0000,231.6400,231.9500,16038
2025-09-11 08:00:00,232.0000,232.2888,230.3300,231.7540,164179
2025-09-11 08:30:00,231.7600,232.2500,231.2100,232.1700,147181
2025-09-11 09:00:00,232.1700,232.5800,231.2400,231.4000,196027
2025-09-11 09:30:00,231.4900,231.5300,229.5000,231.0150,5820447
2025-09-11 10:00:00,231.0250,231.3901,229.3377,229.5900,2967670
2025-09-11 10:30:00,229.6200,231.0399,229.4904,231.0250,2478789
2025-09-11 11:00:00,231.0200,231.3000,230.6800,230.9400,1812538
2025-09-11 11:30:00,230.9500,231.4800,230.5700,230.9900,1616206
2025-09-11 12:00:00,231.0200,231.4200,230.7500,230.8499,1670052
2025-09-11 12:30:00,230.8500,231.4300,230.8500,231.1700,1266005
2025-09-11 13:00:00,231.1700,231.5200,230.8900,231.2600,1231131
2025-09-11 13:30:00,231.2718,231.5200,230.9201,231.1500,1133963
2025-09-11 14:00:00,231.1500,231.3150,230.7200,231.2300,1106733
2025-09-11 14:30:00,231.2300,231.2650,230.4500,230.4801,1591991
2025-09-11 15:00:00,230.4900,230.5000,230.0100,230.0827,1815183
2025-09-11 15:30:00,230.0800,230.4000,229.5300,229.9550,4799064
2025-09-11 16:00:00,229.9550,238.4250,229.4450,229.6400,11793755
2025-09-11 16:30:00,229.6300,245.5073,219.5741,229.7000,48231
2025-09-11 17:00:00,229.7200,229.9500,229.6030,229.6850,219476
2025-09-11 17:30:00,229.6800,230.2600,229.6700,229.8063,64886
2025-09-11 18:00:00,229.7000,229.8700,229.5000,229.6994,32017
2025-09-11 18:30:00,229.6500,229.9500,229.6000,229.8600,18271
