time,open,high,low,close,volume
2025-09-11 04:00:00,227.4500,227.8700,226.9000,227.7400,27998
2025-09-11 04:30:00,227.7400,228.0400,227.7000,227.8500,31653
2025-09-11 05:00:00,227.8800,228.4500,227.7700,228.3700,36546
2025-09-11 05:30:00,228.3500,228.4000,227.9800,228.0700,33628
2025-09-11 06:00:00,228.1000,228.1300,226.5000,227.3000,95961
2025-09-11 06:30:00,227.3400,227.5500,227.1800,227.2700,23346
2025-09-11 07:00:00,227.2700,227.4500,227.0800,227.4200,32546
2025-09-11 07:30:00,227.4100,227.6600,227.2000,227.2800,26117
2025-09-11 08:00:00,226.7900,228.4488,226.5000,227.4000,966725
2025-09-11 08:30:00,227.3200,227.6500,226.6500,227.5993,234366
2025-09-11 09:00:00,227.6000,228.5600,226.6500,226.7200,504487
2025-09-11 09:30:00,226.8750,229.1500,226.6500,229.0450,7230028
2025-09-11 10:00:00,229.0201,229.1850,228.3600,228.9400,4577609
2025-09-11 10:30:00,228.9400,229.3000,228.3202,229.0350,4200031
2025-09-11 11:00:00,229.0364,229.3200,228.4100,228.7700,2521762
2025-09-11 11:30:00,228.7500,228.7800,228.1890,228.4100,1997907
2025-09-11 12:00:00,228.4100,228.7600,228.0300,228.6100,1516007
2025-09-11 12:30:00,228.6000,228.7900,228.3100,228.7500,1294842
2025-09-11 13:00:00,228.7600,229.5400,228.6448,229.4700,2221418
2025-09-11 13:30:00,229.4700,230.1600,229.3900,230.0600,2181877
2025-09-11 14:00:00,230.0600,230.0800,229.1800,229.4600,2481817
2025-09-11 14:30:00,229.4650,230.1508,229.4400,229.8575,1834981
2025-09-11 15:00:00,229.8700,230.0650,229.4100,229.8500,2049757
2025-09-11 15:30:00,229.8400,230.4500,229.8000,230.0200,5627785
2025-09-11 16:00:00,230.0200,230.1500,229.4100,229.5100,13572384
2025-09-11 16:30:00,229.7800,240.6903,217.8036,229.5783,54948
2025-09-11 17:00:00,229.5100,229.6600,229.5000,229.5000,14831
2025-09-11 17:30:00,229.5000,230.0300,229.3100,229.3600,65581
2025-09-11 18:00:00,229.3700,229.5799,228.8900,229.3000,29234
2025-09-11 18:30:00,229.3300,229.5800,229.1600,229.5800,19849
2025-09-11 19:00:00,229.4500,229.5800,229.3100,229.5000,14638
2025-09-11 19:30:00,229.5000,229.5800,229.3200,229.4400,16859
2025-09-12 04:00:00,229.6100,229.8300,228.4400,229.4800,29971
2025-09-12 04:30:00,229.5000,229.5500,229.4000,229.5200,10119
2025-09-12 05:00:00,229.4900,229.6000,229.4100,229.4500,8010
2025-09-12 05:30:00,229.4500,229.5700,229.2600,229.4300,16192
2025-09-12 06:00:00,229.4700,229.5200,229.3300,229.4200,5637
2025-09-12 06:30:00,229.4100,229.4600,229.0200,229.0200,14872
