time,open,high,low,close,volume
2025-09-29 04:00:00,315.3998,316.2358,314.5937,315.9870,188
2025-09-29 04:30:00,315.9870,316.3552,315.9870,316.2159,457
2025-09-29 05:00:00,316.2656,316.2855,316.0964,316.2557,42
2025-09-29 05:30:00,316.2557,316.3154,315.7382,315.9372,411
2025-09-29 06:00:00,315.9472,316.3353,315.9472,316.2656,620
2025-09-29 06:30:00,316.2656,316.3552,316.2457,316.3154,217
2025-09-29 07:00:00,316.2059,316.3154,315.4794,315.7979,1971
2025-09-29 07:30:00,315.7979,315.8974,315.6188,315.6287,2650
2025-09-29 08:00:00,314.5352,316.4647,314.5340,316.0467,3911
2025-09-29 08:30:00,316.0566,316.2159,315.8974,316.1862,1871
2025-09-29 09:00:00,316.0268,316.2159,315.4695,315.4695,5429
2025-09-29 09:30:00,315.5292,316.4746,313.5787,313.7876,690137
2025-09-29 10:00:00,313.8722,314.4246,312.4442,313.8573,566772
2025-09-29 10:30:00,313.8673,314.5440,312.6448,312.9716,341274
2025-09-29 11:00:00,312.9716,313.4095,312.1456,313.2204,398623
2025-09-29 11:30:00,313.2005,313.4990,312.6830,313.2005,297949
2025-09-29 12:00:00,313.2503,313.6682,313.0214,313.3697,186427
2025-09-29 12:30:00,313.4456,313.5289,313.0438,313.2602,188520
2025-09-29 13:00:00,313.2303,313.3398,312.5238,312.5666,189257
2025-09-29 13:30:00,312.6432,313.1856,312.5248,312.9716,203511
2025-09-29 14:00:00,312.9816,313.5687,312.9816,313.4891,205942
2025-09-29 14:30:00,313.4726,313.9170,313.4194,313.8474,209386
2025-09-29 15:00:00,313.8075,313.8275,312.9666,313.5189,275977
2025-09-29 15:30:00,313.5040,314.5838,313.5040,314.1658,706544
2025-09-29 16:00:00,314.1957,314.5838,312.9816,314.1658,4760496
2025-09-29 16:30:00,314.0265,314.4644,312.9816,313.9767,160821
2025-09-29 17:00:00,313.1308,314.1658,313.1308,313.8175,65608
2025-09-29 17:30:00,313.5787,314.1658,313.1010,313.8772,3479
2025-09-29 18:00:00,313.8772,313.9767,313.3796,313.8772,389
2025-09-29 18:30:00,314.1658,314.1658,313.3796,313.9928,1509379
2025-09-29 19:00:00,314.1658,314.1658,313.9767,314.1658,1505919
2025-09-29 19:30:00,313.9767,314.4644,313.9767,314.4445,289
2025-09-30 04:00:00,314.6037,314.6335,313.8772,314.0563,328
2025-09-30 04:30:00,313.9767,314.0563,313.6682,313.8075,291
2025-09-30 05:00:00,313.7578,313.9668,313.7578,313.8275,136
2025-09-30 05:30:00,313.9568,314.3250,313.9568,314.1857,338
2025-09-30 06:00:00,314.0563,314.2653,313.9270,314.1857,165
2025-09-30 06:30:00,313.9867,314.1758,313.9170,313.9369,117
2025-09-30 07:00:00,313.9568,314.2753,313.2503,313.4791,1456
2025-09-30 07:30:00,313.4791,313.6782,313.2702,313.5289,263
2025-09-30 08:00:00,316.8814,316.8814,312.2364,313.8772,4262
2025-09-30 08:30:00,313.8872,314.4210,313.5787,314.0464,2203
2025-09-30 09:00:00,314.0762,314.8226,313.4791,314.8226,3152
2025-09-30 09:30:00,314.7231,315.8775,314.1658,314.3449,745931
2025-09-30 10:00:00,314.1807,314.3599,311.9290,312.5088,554208
2025-09-30 10:30:00,312.5735,312.6432,309.3392,309.8965,717453
2025-09-30 11:00:00,309.9363,309.9363,308.6128,309.8368,671004
2025-09-30 11:30:00,309.7472,311.5983,309.7273,311.2997,527589
2025-09-30 12:00:00,311.2997,312.4442,310.8958,312.1108,302756
2025-09-30 12:30:00,312.1257,312.4143,311.3992,311.9466,331565
2025-09-30 13:00:00,311.9466,312.1456,311.1156,311.4788,328240
2025-09-30 13:30:00,311.4788,311.6928,310.8817,311.4988,248670
2025-09-30 14:00:00,311.4927,312.4939,311.4092,312.4541,231832
2025-09-30 14:30:00,312.4840,313.4891,312.3646,312.7178,340600
2025-09-30 15:00:00,312.6034,313.9668,312.1954,313.9369,427593
2025-09-30 15:30:00,313.9419,314.6236,313.0015,313.8623,977907
2025-09-30 16:00:00,313.8474,313.9071,311.7177,313.3374,14481791
2025-09-30 16:30:00,313.3796,313.9071,313.0015,313.1308,124121
2025-09-30 17:00:00,313.0015,313.3796,313.0015,313.3398,200
2025-09-30 17:30:00,313.3398,313.9071,313.0015,313.3498,2995
2025-09-30 18:00:00,313.3597,313.3796,313.0015,313.2303,152
2025-09-30 18:30:00,313.9071,313.9071,313.0109,313.3398,4602127
2025-09-30 19:00:00,313.9071,313.9071,313.0015,313.3702,4602068
2025-09-30 19:30:00,313.3597,313.3796,313.1089,313.3796,219
2025-10-01 04:00:00,312.8323,312.8323,311.0012,311.2898,489
2025-10-01 04:30:00,311.3793,311.9665,311.2898,311.4888,156
2025-10-01 05:00:00,311.7475,312.2949,311.4888,312.2153,338
2025-10-01 05:30:00,312.3944,312.6930,312.1058,312.1854,135
2025-10-01 06:00:00,312.4740,312.4740,311.9068,311.9963,219
2025-10-01 06:30:00,311.9864,311.9864,311.5784,311.8968,109
2025-10-01 07:00:00,311.9068,312.2352,311.5784,311.9963,3406
2025-10-01 07:30:00,311.9665,312.6631,311.8371,312.4840,1132
2025-10-01 08:00:00,308.5841,313.9071,308.5841,311.9864,11905
2025-10-01 08:30:00,312.7049,312.7328,311.5386,312.0959,2741
2025-10-01 09:00:00,311.7376,313.9071,311.1703,312.0859,6910
2025-10-01 09:30:00,312.4541,313.0711,305.9258,308.9262,1194071
2025-10-01 10:00:00,308.9262,311.3097,308.6327,311.1256,477623
2025-10-01 10:30:00,311.0410,311.4389,310.0359,310.9862,325314
2025-10-01 11:00:00,310.9315,311.0410,310.0408,310.4674,325865
2025-10-01 11:30:00,310.4737,311.3893,310.2448,310.3344,250628
2025-10-01 12:00:00,310.3145,310.6429,309.7373,310.5832,245731
2025-10-01 12:30:00,310.5583,310.7623,309.4139,309.6183,223348
2025-10-01 13:00:00,309.5681,310.0358,309.4190,309.8734,173822
2025-10-01 13:30:00,309.8766,310.1055,309.4985,309.5631,163228
2025-10-01 14:00:00,309.6278,309.7969,308.8317,309.4985,254240
2025-10-01 14:30:00,309.4835,310.4936,309.4387,310.3842,252386
2025-10-01 15:00:00,310.4190,310.4439,309.4786,309.8449,279133
2025-10-01 15:30:00,309.8368,309.8965,309.1402,309.1999,872002
2025-10-01 16:00:00,309.2497,309.9463,309.1004,309.4985,8371532
2025-10-01 16:30:00,309.9463,309.9463,309.0009,309.3293,1832
2025-10-01 17:00:00,309.3293,309.3989,309.1700,309.3890,1499
2025-10-01 17:30:00,309.3890,309.3989,309.2000,309.2497,808
2025-10-01 18:00:00,309.2497,309.5681,309.2198,309.5681,688
2025-10-01 18:30:00,309.2099,309.5681,309.2099,309.4985,2133343
2025-10-01 19:00:00,309.2099,309.5482,309.2099,309.3989,2113748
2025-10-01 19:30:00,309.3989,309.5482,309.3492,309.4985,904
2025-10-02 04:00:00,309.5482,309.7373,309.0108,309.0606,1403
2025-10-02 04:30:00,309.2696,309.2795,308.8018,309.2099,3724
2025-10-02 05:00:00,309.2099,309.2099,308.8217,309.0506,775
2025-10-02 05:30:00,308.7819,308.9014,308.3938,308.6725,1818
2025-10-02 06:00:00,308.7421,308.7421,308.1351,308.4834,879
2025-10-02 06:30:00,308.4038,308.4834,308.2246,308.4834,3670
2025-10-02 07:00:00,308.4834,308.7023,308.2147,308.7023,2154
2025-10-02 07:30:00,308.6924,308.8217,308.5431,308.8217,2041
2025-10-02 08:00:00,311.3085,311.3085,307.9957,309.2099,9340
2025-10-02 08:30:00,309.3576,310.1055,304.1469,309.5184,594641
2025-10-02 09:00:00,309.7970,311.5585,308.4137,308.4137,11182
2025-10-02 09:30:00,308.5033,309.0606,306.4333,307.1026,904554
2025-10-02 10:00:00,307.0454,307.0454,305.7168,306.7020,563979
2025-10-02 10:30:00,306.7269,307.6539,306.2532,306.5229,399340
2025-10-02 11:00:00,306.5080,307.0702,305.3983,305.8263,374600
2025-10-02 11:30:00,305.7964,306.0735,305.1396,305.7816,294783
2025-10-02 12:00:00,305.7815,305.8151,304.6619,305.3884,352425
2025-10-02 12:30:00,305.3585,305.6034,304.9505,305.4193,215630
2025-10-02 13:00:00,305.4033,305.9954,305.2292,305.4620,264177
2025-10-02 13:30:00,305.5172,306.0154,305.0401,305.7069,246531
2025-10-02 14:00:00,305.7069,306.4467,305.6173,306.3537,247073
