time,open,high,low,close,volume
2025-09-11 04:00:00,177.8000,178.2100,177.4500,177.9600,233579
2025-09-11 04:30:00,177.9500,178.0300,177.6400,177.7700,79420
2025-09-11 05:00:00,177.7700,178.0000,177.6900,177.7900,94504
2025-09-11 05:30:00,177.7700,177.7700,177.3100,177.6200,94946
2025-09-11 06:00:00,177.6300,178.7000,177.6300,178.2300,327627
2025-09-11 06:30:00,178.2200,178.6700,178.0700,178.4200,186782
2025-09-11 07:00:00,178.3800,178.4200,178.1200,178.3000,180644
2025-09-11 07:30:00,178.3000,178.5300,178.3000,178.3100,118291
2025-09-11 08:00:00,177.7800,178.6700,177.3297,178.5800,940911
2025-09-11 08:30:00,178.5800,179.0300,172.9450,178.9500,1344854
2025-09-11 09:00:00,178.9400,179.7800,178.7700,179.7300,1265795
2025-09-11 09:30:00,179.6800,180.2800,177.6100,177.8450,27986572
2025-09-11 10:00:00,177.8400,179.7700,176.9250,177.2550,14978531
2025-09-11 10:30:00,177.2550,178.2035,177.2300,177.8400,9777076
2025-09-11 11:00:00,177.8350,178.4400,177.1500,178.0950,11657120
2025-09-11 11:30:00,178.0900,178.5300,177.7250,177.9750,9037237
2025-09-11 12:00:00,177.9800,178.1000,177.4300,177.5581,5774485
2025-09-11 12:30:00,177.5642,177.7000,177.0200,177.3050,6382082
2025-09-11 13:00:00,177.3100,177.5200,176.9500,177.0942,5629308
2025-09-11 13:30:00,177.0950,177.2400,176.4800,177.1218,7616550
2025-09-11 14:00:00,177.1300,177.7399,176.9100,177.5750,8904112
2025-09-11 14:30:00,177.5800,177.7400,177.4200,177.5050,4687577
2025-09-11 15:00:00,177.5000,177.5250,176.9773,177.1200,6234231
2025-09-11 15:30:00,177.1200,177.9500,176.9000,177.0900,10687664
2025-09-11 16:00:00,177.0900,177.7234,176.9500,177.1200,26879572
2025-09-11 16:30:00,177.1500,177.7444,164.6682,177.1100,419660
2025-09-11 17:00:00,177.1300,177.1700,177.0200,177.0400,656253
2025-09-11 17:30:00,177.0450,177.3000,177.0300,177.1900,319434
2025-09-11 18:00:00,177.1700,177.3000,177.0200,177.2800,149499
2025-09-11 18:30:00,177.2800,177.2999,177.0600,177.2000,66781
2025-09-11 19:00:00,177.1900,177.2900,177.1000,177.2000,65640
