time,open,high,low,close,volume
2025-09-11 04:00:00,239.7200,240.1800,239.1600,239.8500,21616
2025-09-11 04:30:00,239.8400,239.9000,239.6300,239.6600,4573
2025-09-11 05:00:00,239.6800,239.7800,239.6300,239.6500,3180
2025-09-11 05:30:00,239.6800,239.7300,239.3400,239.3700,6381
2025-09-11 06:00:00,239.3700,239.6700,239.2800,239.6000,6807
2025-09-11 06:30:00,239.6300,239.7300,239.5100,239.6400,3958
2025-09-11 07:00:00,239.6300,239.6500,239.2400,239.4600,16521
2025-09-11 07:30:00,239.5000,239.6100,239.4200,239.4800,10334
2025-09-11 08:00:00,239.1700,240.3100,239.1500,239.4700,1820008
2025-09-11 08:30:00,239.4700,239.7200,238.6300,239.3767,51087
2025-09-11 09:00:00,239.4400,239.9000,238.8200,239.7900,64745
2025-09-11 09:30:00,239.8800,240.4500,236.8800,238.6100,4198875
2025-09-11 10:00:00,238.6000,238.6850,237.7268,237.9800,1760345
2025-09-11 10:30:00,237.9801,238.4700,236.2500,238.0500,2221969
2025-09-11 11:00:00,238.0400,239.4400,238.0000,239.2500,1511797
2025-09-11 11:30:00,239.2500,239.6700,239.1200,239.2200,960661
2025-09-11 12:00:00,239.2200,240.0950,239.2200,239.9300,1281222
2025-09-11 12:30:00,239.9400,240.1180,239.4484,239.4900,924698
2025-09-11 13:00:00,239.4900,239.9900,239.1600,239.9600,877662
2025-09-11 13:30:00,239.9550,240.3000,239.6700,240.2200,916353
2025-09-11 14:00:00,240.2100,241.0800,239.9900,241.0700,1219581
2025-09-11 14:30:00,241.0700,241.7000,239.9400,241.5600,1772456
2025-09-11 15:00:00,241.5500,242.0450,241.4700,241.9902,1712915
2025-09-11 15:30:00,241.9900,242.2500,240.1500,240.3500,3890693
2025-09-11 16:00:00,240.3500,240.6000,239.8100,240.2500,8891405
2025-09-11 16:30:00,240.2500,240.3700,240.0600,240.1000,9476
2025-09-11 17:00:00,240.1500,240.3700,240.0900,240.3200,11456
2025-09-11 17:30:00,240.3100,240.4000,240.1500,240.3000,21781
